Profiles
Time,load_0.min,load_0.max,load_0.current,load_0.scale_factor,load_1.min,load_1.max,load_1.current,load_1.scale_factor,gen_0.min,gen_0.max,gen_0.current,gen_0.scale_factor
2014-07-01 12:00:00,1.0259008491715473,5.293770550765207,2.1313996270985336,0.0,1.0343059052862913,5.1840476529612465,2.3578098328468755,0.0,1.0716136964196554,4.916144834135327,2.220652761447667,0.0
2014-07-01 12:15:00,1.0685257992964536,4.756707976428696,1.9642831681685258,0.0,1.0092661928583575,5.349118733519103,1.7275411461339414,0.0,1.0866342128000652,5.49324454244964,2.0150746199198823,0.0
2014-07-01 12:30:00,1.068408191801611,5.349939012780993,1.6991891537413222,0.0,1.0002974540937577,4.758547510391857,1.8036507384172382,0.0,1.0999627577764142,5.261840990192685,2.5592957717552722,0.0
2014-07-01 12:45:00,1.084933616138993,4.986785493032938,2.0757907520162036,0.0,1.0997913772691688,5.088011892406398,1.9881345869748908,0.0,1.0809063416923488,4.984047564932579,1.602934890535688,0.0
2014-07-01 13:00:00,1.0185724173873736,5.255003851277401,1.7540194111358933,0.0,1.012151619350943,4.855564719236727,1.5455263189107167,0.0,1.0424349040989125,4.761453309320443,2.4047089822382044,0.0
2014-07-01 13:15:00,1.0230558608965468,5.064138598601681,1.7587341901156286,0.0,1.0301503113707424,4.744258177221496,1.6584240897769789,0.0,1.0622132278823775,4.961073544459089,1.705626200110279,0.0
2014-07-01 13:30:00,1.0147159918168418,4.929577646186414,1.7091849423085859,0.0,1.0268944319822206,4.787353921144369,1.887920402343613,0.0,1.0833162051992593,5.4020483416172365,2.4230517326806367,0.0
2014-07-01 13:45:00,1.0225162935562113,4.864202625219743,1.8889562032758973,0.0,1.05972589082942,4.703847398167135,2.001595757567418,0.0,1.0716019993281565,5.036688219481425,1.7253457182677532,0.0
2014-07-01 14:00:00,1.0734023602212774,4.929822270860111,1.6466781381451954,0.0,1.0077427282470488,4.850819330106828,2.3841854183161706,0.0,1.029043098478274,4.693905798839532,1.5826258318410036,0.0
2014-07-01 14:15:00,1.0130213022759758,4.813761365825326,2.1642530727101015,0.0,1.0469890516415377,4.53810700265269,2.5368422879760453,0.0,1.0762006774848603,4.875570682541279,2.0768844279053784,0.0
2014-07-01 14:30:00,1.0531314751847018,4.61736005057379,2.5067975174503956,0.0,1.0366697749880194,4.89763454691076,1.5802452656343964,0.0,1.0109414101352325,4.976104593510914,2.436795524957114,0.0
2014-07-01 14:45:00,1.0213907530491741,5.319643643458748,1.9110795131076146,0.0,1.0834503382711003,4.586757004771963,2.118502751730821,0.0,1.0308460007650841,4.690718442418103,1.7882563946119872,0.0
2014-07-01 15:00:00,1.0294656753763363,5.298258637143558,2.2483476655730064,0.0,1.0005715976057086,5.2581463757575175,1.62992752715622,0.0,1.099614090016253,5.072936176551256,2.0860954438170998,0.0
2014-07-01 15:15:00,1.0431580328392214,5.485681185594871,2.476135849804683,0.0,1.0334752769433435,5.099809005270157,2.33714534837514,0.0,1.047122817777167,4.5341921559120255,2.155167755730063,0.0
2014-07-01 15:30:00,1.08376565105033,5.1909226510552875,1.6269741922119327,0.0,1.0496559117434623,4.504095752934667,1.8723699213759273,0.0,1.026776111238338,5.3212331719755275,1.7704437831894304,0.0
2014-07-01 15:45:00,1.0608402147874287,5.054226358318246,1.7025857783692175,0.0,1.096978731105303,5.273851374584284,2.4898763510620405,0.0,1.0784826853495064,4.678715535441612,2.108839059017213,0.0
2014-07-01 16:00:00,1.0014432392962092,5.248411491417546,2.3075385168003146,0.0,1.051668653506297,4.690428826581722,2.0970715136981943,0.0,1.0450185398019283,4.602877788286712,1.554608953754661,0.0
2014-07-01 16:15:00,1.0275836853939158,4.634853761198965,2.365729063962067,0.0,1.0474222318999864,4.980734415288998,1.6730580637204855,0.0,1.0003671970414627,5.0888700644144675,1.9497542548525244,0.0
2014-07-01 16:30:00,1.0146710321940116,5.176821565098681,2.153726546929735,0.0,1.0669502006524996,5.054628553909687,1.5718890705351418,0.0,1.0029264759512293,4.8072745582511045,2.2626966898162166,0.0
2014-07-01 16:45:00,1.087128472919844,4.943399954855263,1.746885190997739,0.0,1.0296556083849135,4.832866237024204,1.7777772865610717,0.0,1.0259023847254019,5.385178140577855,1.8658281630320395,0.0
2014-07-01 17:00:00,1.0809739611211062,4.6766337476172115,1.9944648655138206,0.0,1.0031739766718206,4.7894355992083035,2.37122884109023,0.0,1.0331952469247314,4.996933695459208,1.7536385747102203,0.0
2014-07-01 17:15:00,1.0806046838033576,4.7026266320005945,2.4488462044114083,0.0,1.050137669380176,4.934961229201836,1.6998870980822027,0.0,1.093725564324997,5.021387925182864,1.6445522295224486,0.0
2014-07-01 17:30:00,1.0826365340136483,5.022693301411334,2.46882895831068,0.0,1.0910401621141121,4.6369884546724505,2.069964003917472,0.0,1.024730160798121,5.334522344584771,2.225330665617852,0.0
2014-07-01 17:45:00,1.0744750152802207,4.7533117560380145,2.377647136854141,0.0,1.073837336261844,5.363564879094049,1.9454898356274066,0.0,1.085008924418992,4.71430060793015,2.012196391304303,0.0
2014-07-01 18:00:00,1.0949323416795635,4.9594590236377885,1.797990634436488,0.0,1.0258314888368256,4.6119344857972715,1.8708042577401065,0.0,1.0853528852574406,5.245346791380087,2.4994181979263024,0.0
